Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Овчинникова Мария Алексеевна,,,,,,,,,,1 096 715,,1 096 715
Односталко Елена Анатольевна,,,,,,,,,,876 509,,876 509
Папуциди Элеонора Христофоровна,,,,,,,,,,1 405 833,,1 405 833
Паршина Ирина Петровна,,,,,,,,,,1 300 409,,1 300 409
Патрикеева Людмила Григорьевна,,,,,,,,,,787 476,,787 476
Петрова Елена Евгеньевна,,,,,,,,,,873 141,,873 141
Петрова Наталия Анатольевна,,,,,,,,,,1 119 808,,1 119 808
Поленс Александр Анатольевич,,,,,,,,,,2 244 928,,2 244 928
Поршнева Сания Эльмаровна,,,,,,,,,,1 656 240,,1 656 240
Приставко Светлана Александровна,,,,,,,,,,2 175 773,,2 175 773
Прищепова Виктория Витальевна,,,,,,,,,,1 858 268,,1 858 268
Прокофьева Наталья Анатольевна,,,,,,,,,,2 404 887,,2 404 887
Ракчеева Вероника Алексеевна,,,,,,,,,,790 930,,790 930
Рыдлевский Алексей Владимирович,,,,,,,,,,1 210 960,,1 210 960
Рязанцева Антонина Сергеевна,,,,,,,,,,1 940 224,,1 940 224
Савёнок Людмила Васильевна,,,,,,,,,,1 658 298,,1 658 298
Светозарова Ирина Вячеславовна,,,,,,,,,,2 158 235,,2 158 235
Севастьянова Юлия Борисовна,,,,,,,,,,1 342 195,,1 342 195
Седых Ирина Анатольевна,,,,,,,,,,1 276 486,,1 276 486
Семенов Аркадий Андреевич,,,,,,,,,,1 037 334,,1 037 334
Семенова Светлана Юрьевна,,,,,,,,,,1 983 804,,1 983 804
Сергеева Елена Германовна,,,,,,,,,,2 387 111,,2 387 111
Синченко Ольга Владимировна,,,,,,,,,,1 160 755,,1 160 755
Скрынник Наталья Алексеевна,,,,,,,,,,1 281 806,,1 281 806
Слезина Людмила Петровна,,,,,,,,,,1 375 702,,1 375 702
Смирнова Евгения Михайловна,,,,,,,,,,2 521 822,,2 521 822
Смирнова Наталья Викторовна,,,,,,,,,,617 652,,617 652
Смирнова Неля Леонидовна,,,,,,,,,,1 502 998,,1 502 998
Смольникова Светлана Геннадьевна,,,,,,,,,,1 758 999,,1 758 999
Соколова Елена Васильевна,,,,,,,,,,1 079 586,,1 079 586
Соколова Ольга Антоновна,,,,,,,,,,4 200 793,,4 200 793
Стаховский Тимофей Владимирович,,,,,,,,,,948 764,,948 764
Степанова Светлана Людвиговна,,,,,,,,,,1 968 452,,1 968 452
Строшкова Ольга Владимировна,,,,,,,,,,1 126 044,,1 126 044
Тадтаев Виталий Александрович,,,,,,,,,,2 804 412,,2 804 412
Томчук Николай Андреевич,,,,,,,,,,1 633 421,,1 633 421
Фаустова Елена Анатольевна,,,,,,,,,,1 768 387,,1 768 387
Федосеенко Александр Сергеевич,,,,,,,,,,906 244,,906 244
Феклистова Светлана Леонидовна,,,,,,,,,,799 521,,799 521
Хакимова Нина Ивановна,,,,,,,,,,1 319 803,,1 319 803
Христюк Татьяна Михайловна,,,,,,,,,,1 427 037,,1 427 037
Чернигова Елена Вениаминовна,,,,,,,,,,3 466 719,,3 466 719
Черных Марина Геннадьевна,,,,,,,,,,5 749 200,,5 749 200
Чикшова Яна Андреевна,,,,,,,,,,1 102 291,,1 102 291
Чирина Светлана Викторовна,,,,,,,,,,1 495 178,,1 495 178
Чиркова Галина Николаевна,,,,,,,,,,1 940 626,,1 940 626
Шабаров Владимир Иванович,,,,,,,,,,1 571 654,,1 571 654
Шалимова Светлана Анатольевна,,,,,,,,,,705 394,,705 394
Шарков Кирилл Георгиевич,,,,,,,,,,3 851 005,,3 851 005
Шипилова Светлана Андреевна,,,,,,,,,,1 750 435,,1 750 435
Шутова Валентина Михайловна,,,,,,,,,,2 870 837,,2 870 837
Якушенко Марина Арнольдовна,,,,,,,,,,879 827,,879 827
Ямщикова Ирина Семеновна,,,,,,,,,,1 467 840,,1 467 840
Васюков А.А. ,,,,,,,,,,994 250,,994 250
Ловакова Т.В. ,,,,,,,,,,506 439,,506 439
Михайлов В. Е.,,,,,,,,,,437 842,,437 842
Агафонова Марина Юрьевна,,,,,,,,,,903 525,,903 525
Аршанская Ольга Владимировна,,,,,,,,,,633 459,,633 459
Баронина Елена Борисовна,,,,,,,,,,2 722 329,,2 722 329
Тосина Маргарита Ивановна,,,,,,,,,,753 907,,753 907
Трофимова Ирина Викторовна,,,,,,,,,,940 642,,940 642
Туркина Наталия Валерьевна,,,,,,,,,,494 966,,494 966
Федорова Ольга Анатольевна,,,,,,,,,,674 669,,674 669
Чашникова Марина Николаевна,,,,,,,,,,1 460 497,,1 460 497
Аверьянова Марина Евгеньевна,,,,,,,,,,1 509 188,,1 509 188
Азарова Татьяна Сергеевна,,,,,,,,,,3 222 068,,3 222 068
Алавидзе Галина Александровна,,,,,,,,,,1 403 988,,1 403 988
Алексеева Валентина Федоровна,,,,,,,,,,1 964 971,,1 964 971
Алексеева Галина Александровна,,,,,,,,,,876 123,,876 123
Андреева Виктория Вячеславовна,,,,,,,,,,1 095 816,,1 095 816
Артюкевич Елена Васильевна,,,,,,,,,,1 212 095,,1 212 095
Архипова Елена Алексеевна,,,,,,,,,,1 275 421,,1 275 421
Афанасьева Тамара Юрьевна,,,,,,,,,,1 583 622,,1 583 622
Бабенко Александра Валерьевна,,,,,,,,,,1 137 193,,1 137 193
Балабай Татьяна Леонидовна,,,,,,,,,,1 592 008,,1 592 008
Бежунская Карина Ивановна,,,,,,,,,,1 752 984,,1 752 984
Беляева Ольга Александровна,,,,,,,,,,1 174 364,,1 174 364
Бердник Елена Валериевна,,,,,,,,,,1 561 989,,1 561 989
Боброва Светлана Ивановна,,,,,,,,,,835 906,,835 906
Богунова Наталия Александровна,,,,,,,,,,1 521 762,,1 521 762
Бойцова Анна Федоровна,,,,,,,,,,1 989 875,,1 989 875
Большаков Илья Владимирович,,,,,,,,,,7 682 311,,7 682 311
Бондарчук Тамара Игоревна,,,,,,,,,,1 410 756,,1 410 756
Бринзей Надежда Леонидовна,,,,,,,,,,3 961 972,,3 961 972
Брюховецкая Вера Николаевна,,,,,,,,,,1 421 592,,1 421 592
Бугреева Светлана Анатольевна,,,,,,,,,,1 471 966,,1 471 966
Бузакова Александра Владимировна,,,,,,,,,,1 522 159,,1 522 159
Булах Галина Викторовна,,,,,,,,,,1 029 894,,1 029 894
Струев Сергей Владимирович,,,,,,,,,2 795 138,5 277 454,,8 072 592
Смирнова Ирина Александровна,,,,,,,,,2 130 663,1 093 277,,3 223 940
Дейнека Елена Петровна,,,,,,1 326 573,1 706 478,1 586 794,2 236 378,2 663 715,,9 519 938
Молоцова Ирина Юрьевна,,,,,,984 888,1 103 120,1 135 780,1 129 364,,,4 353 152
Вартанов Вадим Владимирович,,,,,,,,3 510 153,,,,3 510 153
Лашкова Марина Валентиновна,,,,,,814 219,1 029 990,1 144 000,,,,2 988 209
Сурыгина Вера Васильевна,,,,,,,1 008 855,1 265 955,,,,2 274 810
Овдиюк Татьяна Викторовна,,,,,,723 346,1 560 658,1 782 518,,,,4 066 522
Игнатова Валентина Владимировна,,,,,,,666 767,1 196 360,,,,1 863 127
Андронова Светлана Валерьевна,,,,,,,,1 363 657,,,,1 363 657
Тормагова Орыся Николаевна,,,,,,,1 906 963,2 577 082,,,,4 484 045
Кудашева Валентина Юрьевна,,,,,,,1 578 032,2 236 794,,,,3 814 826
Столярова Елена Владимировна,,,,,,,,1 742 747,,,,1 742 747
Лоскутова Надежда Владимировна,,,,,,791 109,998 542,1 218 347,,,,3 007 998
Попова И. А.,,,,,,,,,,375 343,,375 343
Матвеева Н. В.,,,,,,,,,,439 123,,439 123
Сафрай Вера Владимировна,,,,,,,724 884,,,,,724 884
Назарова Ольга Дмитриевна,,,,,,966 901,1 115 581,,,,,2 082 482
Василего А. В.,,,,,,,,,,2 555 633,,2 555 633
Головченко Н. Л.,,,,,,,,,,1 790 331,,1 790 331
Кедрова Ирина Владимировна,,,,,,1 241 172,,,,,,1 241 172
Глухова Л. Ф.,,,,,,,,,,1 365 386,,1 365 386
Дроботенко И. А.,,,,,,,,,,540 126,,540 126
Антошина Н. А.,,,,,,,,,,1 186 454,,1 186 454
Русакович Ю. Н.,,,,,,,,,,990 000,,990 000
Гавриков Максим Николаевич,,,,,,,,,,1 395 990,1 722 129,3 118 119
Абакумова Анна Олеговна,,,,,,,,,,732 569,,732 569
Антонова Зоя Яшаровна,,,,,,,,,,747 574,,747 574
Груздева Наталья Анатольевна,,,,,,,,,,1 316 178,,1 316 178
Дарь Лариса Александровна,,,,,,,,,,1 255 233,,1 255 233
Садовникова Мария Викторовна,,,,,,,,,,1 239 849,,1 239 849
Абдулина Альфия Сибгатовна,,,,,,,,,,1 943 181,,1 943 181
Авдеева Ирина Святославовна,,,,,,,,,,1 304 771,,1 304 771
Адамский Михаил Яковлевич,,,,,,,,,,1 910 170,,1 910 170
Алексашкина Светлана Александровна,,,,,,,,,,887 284,,887 284
Алексеева Лилия Викторовна,,,,,,,,,,728 190,,728 190
Алиева Елена Андреевна,,,,,,,,,,1 017 183,,1 017 183
Аминова Ирина Васильевна,,,,,,,,,,806 571,,806 571
Антипичева Наталия Витальевна,,,,,,,,,,1 360 726,,1 360 726
Артеева Татьяна Евгеньевна,,,,,,,,,,4 125 835,,4 125 835
Архипова Тамара Николаевна,,,,,,,,,,1 253 527,,1 253 527
Афанасьева Ирина Кирилловна,,,,,,,,,,1 200 236,,1 200 236
Бабкова Юлия Николаевна,,,,,,,,,,1 294 325,,1 294 325
Балуева Татьяна Павловна,,,,,,,,,,983 923,,983 923
Бараева Светлана Васильевна,,,,,,,,,,949 539,,949 539
Басова Ольга Владимировна,,,,,,,,,,703 470,,703 470
Батусова Кира Всеволодовна,,,,,,,,,,2 357 473,,2 357 473
Белова Татьяна Ивановна,,,,,,,,,,1 265 053,,1 265 053
Беляева Ирина Александровна,,,,,,,,,,1 915 432,,1 915 432
Беляшкина Лариса Валерьевна,,,,,,,,,,1 232 080,,1 232 080
Биличенко Валентина Андреевна,,,,,,,,,,1 233 880,,1 233 880
Богданова Наталия Евгеньевна,,,,,,,,,,510 322,,510 322
Большакова Ирина Владимировна,,,,,,,,,,1 566 679,,1 566 679
Борисова Кира Николаевна,,,,,,,,,,1 189 056,,1 189 056
Будзинская Марина Леонидовна,,,,,,,,,,1 055 209,,1 055 209
Валявская Наталья Геннадьевна,,,,,,,,,,1 483 507,,1 483 507
Варова Ирина Александровна,,,,,,,,,,1 906 587,,1 906 587
Васекина Лариса Ивановна,,,,,,,,,,1 387 341,,1 387 341
Васькова Инна Юрьевна,,,,,,,,,,1 407 603,,1 407 603
Вашук Евгения Исааковна,,,,,,,,,,743 875,,743 875
Виноградов Станислав Михайлович,,,,,,,,,,1 483 205,,1 483 205
Власова Светлана Викторовна,,,,,,,,,,1 136 626,,1 136 626
Гайдук Диана Михайловна,,,,,,,,,,2 751 307,,2 751 307
Галеева Нажия Фяридовна,,,,,,,,,,965 426,,965 426
Гвоздева Марина Юрьевна,,,,,,,,,,1 541 878,,1 541 878
Голинский Юрий Георгиевич,,,,,,,,,,2 642 267,,2 642 267
Голод Софья Степановна,,,,,,,,,,3 433 553,,3 433 553
Горелова Евгения Александровна,,,,,,,,,,1 235 048,,1 235 048
Господинова Наталья Викторовна,,,,,,,,,,2 206 350,,2 206 350
Григорьева Ирина Анатольевна,,,,,,,,,,1 262 487,,1 262 487
Григорьева Наталия Владимировна,,,,,,,,,,847 647,,847 647
Гудушина Людмила Павловна,,,,,,,,,,1 409 019,,1 409 019
Гусарова Татьяна Сергеевна,,,,,,,,,,1 306 905,,1 306 905
Дементьева Нина Александровна,,,,,,,,,,5 214 402,,5 214 402
Демидова Шамсия Рашидовна,,,,,,,,,,994 760,,994 760
Дмитриева Елена Владимировна,,,,,,,,,,843 125,,843 125
Домбровская Наталья Эдуардовна,,,,,,,,,,1 436 833,,1 436 833
Дудорина Людмила Валентиновна,,,,,,,,,,1 283 524,,1 283 524
Евсеев Сергей Владимирович,,,,,,,,,,778 917,,778 917
Елизарова Евгения Вадимовна,,,,,,,,,,744 728,,744 728
Еникеева Наталья Викторовна,,,,,,,,,,862 240,,862 240
Ергина Елена Николаевна,,,,,,,,,,1 050 366,,1 050 366
Ефимов Игорь Анатольевич,,,,,,,,,,1 268 976,,1 268 976
Жбанова Наталья Владимировна,,,,,,,,,,1 100 228,,1 100 228
Жилкина Ольга Викторовна,,,,,,,,,,1 145 245,,1 145 245
Забоева Светлана Павловна,,,,,,,,,,733 438,,733 438
Завьялова Наталия Леонидовна,,,,,,,,,,761 659,,761 659
Зайцева Наталия Александровна,,,,,,,,,,2 748 093,,2 748 093
Захарченко Ирина Дмитриевна,,,,,,,,,,1 176 634,,1 176 634
Зиновьева Анна Алексеевна,,,,,,,,,,944 198,,944 198
Иванова Наталья Борисовна,,,,,,,,,,1 534 761,,1 534 761
Иванова Ольга Константиновна,,,,,,,,,,1 032 687,,1 032 687
Иванова Юлия Викторовна,,,,,,,,,,1 351 803,,1 351 803
Изотова Ирина Анатольевна,,,,,,,,,,1 063 593,,1 063 593
Казакова Екатерина Михайловна,,,,,,,,,,1 263 426,,1 263 426
Карташова Наталья Николаевна,,,,,,,,,,794 372,,794 372
Киселева Людмила Алексеевна,,,,,,,,,,1 227 778,,1 227 778
Климуха Людмила Андреевна,,,,,,,,,,1 258 957,,1 258 957
Князева Ирина Павловна,,,,,,,,,,765 899,,765 899
Ковалюк Светлана Юрьевна,,,,,,,,,,1 755 976,,1 755 976
Конышева Ольга Андреевна,,,,,,,,,,1 293 533,,1 293 533
Копунова Анна Анатольевна,,,,,,,,,,1 391 426,,1 391 426
Коростышевская Наталья Юрьевна,,,,,,,,,,1 461 938,,1 461 938
Кочарян Тамара Ивановна,,,,,,,,,,906 127,,906 127
Крайнова Людмила Викторовна,,,,,,,,,,1 057 574,,1 057 574
Кузнецова Ирина Николаевна,,,,,,,,,,753 015,,753 015
Кузнецова Татьяна Николаевна,,,,,,,,,,887 914,,887 914
Кузьмин Юрий Владимирович,,,,,,,,,,1 020 621,,1 020 621
Кузьмина Нуржамал Паталиевна,,,,,,,,,,2 546 715,,2 546 715
Лаптева Анна Сергеевна,,,,,,,,,,750 628,,750 628
Лимонова Марина Владимировна,,,,,,,,,,692 832,,692 832
Лобзев Николай Васильевич,,,,,,,,,,1 919 131,,1 919 131
Лукьянова Татьяна Николаевна,,,,,,,,,,1 018 929,,1 018 929
Лутц Валентина Михайловна,,,,,,,,,,1 191 480,,1 191 480
Макаренко Людмила Алексеевна,,,,,,,,,,1 719 725,,1 719 725
Малачева Елена Олеговна,,,,,,,,,,1 066 751,,1 066 751
Малич Надежда Петровна,,,,,,,,,,2 322 654,,2 322 654
Малярова Светлана Ивановна,,,,,,,,,,1 262 128,,1 262 128
Матросова Татьяна Михайловна,,,,,,,,,,1 589 445,,1 589 445
Мелоева Галина Ивановна,,,,,,,,,,732 840,,732 840
Мельник Ольга Алексеевна,,,,,,,,,,2 262 528,,2 262 528
Меньшикова Анна Владимировна,,,,,,,,,,6 561 610,,6 561 610
Милько Наталья Владимировна,,,,,,,,,,3 511 560,,3 511 560
Миханоша Юрий Иванович,,,,,,,,,,1 022 153,,1 022 153
Морозова Алла Николаевна,,,,,,,,,,914 838,,914 838
Москалькова Елена Раулевна,,,,,,,,,,719 450,,719 450
Мурад Любовь Геннадьевна,,,,,,,,,,1 150 177,,1 150 177
Мусатова Елена Владимировна,,,,,,,,,,3 418 146,,3 418 146
Мустафин Глеб Витальевич,,,,,,,,,,2 260 511,,2 260 511
Наумовская Ирина Александровна,,,,,,,,,,922 017,,922 017
Нестеров Юрий Игоревич,,,,,,,,,,2 172 516,,2 172 516
Никифоров Анатолий Сергеевич,,,,,,,,,,1 442 739,,1 442 739
Новикова Тамара Александровна,,,,,,,,,,1 389 687,,1 389 687
Огородова Татьяна Андреевна,,,,,,,,,,1 732 658,,1 732 658
Павликова Раиса Алексеевна,,,,,,,,,,1 264 811,,1 264 811
Пахомова Галина Александровна,,,,,,,,,,2 098 255,,2 098 255
Пахомова Ольга Александровна,,,,,,,,,,1 919 123,,1 919 123
Петренко Инесса Вячеславна,,,,,,,,,,2 964 232,,2 964 232
Петрова Татьяна Олеговна,,,,,,,,,,1 969 623,,1 969 623
Плющ Александр Николаевич,,,,,,,,,,971 870,,971 870
Ремизова Татьяна Геннадиевна,,,,,,,,,,697 401,,697 401
Родыгин Сергей Александрович,,,,,,,,,,1 586 177,,1 586 177
Рожкова Галина Николаевна,,,,,,,,,,887 849,,887 849
Рулев Сергей Николаевич,,,,,,,,,,2 685 937,,2 685 937
Рунге Роберт Иоганович,,,,,,,,,,2 427 544,,2 427 544
Самусева Елена Львовна,,,,,,,,,,1 145 001,,1 145 001
Сауляк Михаил Федорович,,,,,,,,,,1 156 804,,1 156 804
Свердлова Любовь Александровна,,,,,,,,,,1 251 062,,1 251 062
Светлицкий Сергей Леонидович,,,,,,,,,,1 646 179,,1 646 179
Семенова Светлана Ивановна,,,,,,,,,,1 646 231,,1 646 231
Сивенкова Любовь Петровна,,,,,,,,,,953 812,,953 812
Синицын Александр Валерьевич,,,,,,,,,,2 131 114,,2 131 114
Скуратова Надежда Владимировна,,,,,,,,,,2 224 570,,2 224 570
Смирнова Галина Алексеевна,,,,,,,,,,1 214 416,,1 214 416
Смирнова Наталия Евгеньевна,,,,,,,,,,891 701,,891 701
Соколова Нелли Алексеевна,,,,,,,,,,1 741 509,,1 741 509
Соловьева София Алексеевна,,,,,,,,,,1 466 960,,1 466 960
Соснина Надежда Викторовна,,,,,,,,,,949 722,,949 722
Степанова Елена Анатольевна,,,,,,,,,,1 862 850,,1 862 850
Страхова Валентина Яковлевна,,,,,,,,,,1 668 666,,1 668 666
Струкова Зинаида Алексеевна,,,,,,,,,,1 365 872,,1 365 872
Сулейманова Ольга Александровна,,,,,,,,,,1 141 563,,1 141 563
Супрунович Галина Петровна,,,,,,,,,,1 051 188,,1 051 188
Сухляева Юлия Владимировна,,,,,,,,,,1 740 612,,1 740 612
Тарасова Светлана Борисовна,,,,,,,,,,1 453 654,,1 453 654
Титова Алла Владимировна,,,,,,,,,,749 190,,749 190
Ткачук Елена Викторовна,,,,,,,,,,207 855,,207 855
Трофимова Марина Владимировна,,,,,,,,,,1 156 278,,1 156 278
Тычковататьяна Николаевна ,,,,,,,,,,1 104 749,,1 104 749
Ульященко Альбина Матвеевна,,,,,,,,,,1 336 979,,1 336 979
Устюгова Лариса Владимировна,,,,,,,,,,826 994,,826 994
Фадеева Юлия Владимировна,,,,,,,,,,1 208 703,,1 208 703
Фатеева Татьяна Николаевна,,,,,,,,,,1 295 695,,1 295 695
Федорова Наталья Михайловна,,,,,,,,,,1 019 841,,1 019 841
Федорова Татьяна Федоровна,,,,,,,,,,1 230 930,,1 230 930
Федотова Елена Юрьевна,,,,,,,,,,1 317 572,,1 317 572
Федотова Наталья Ивановна,,,,,,,,,,1 001 561,,1 001 561
Филиппова Екатерина Ивановна,,,,,,,,,,842 426,,842 426
Хазова Светлана Ивановна,,,,,,,,,,1 784 874,,1 784 874
Харламова Ирина Владимировна,,,,,,,,,,709 473,,709 473
Хмелева Татьяна Михайловна,,,,,,,,,,1 248 259,,1 248 259
Черемисова Елена Викторовна,,,,,,,,,,2 111 576,,2 111 576
Чистякова Надежда Владимировна,,,,,,,,,,1 849 572,,1 849 572
Чистякова Надежда Владимировна,,,,,,,,,,1 849 572,,1 849 572
Шведова Ирина Владимировна,,,,,,,,,,1 404 127,,1 404 127
Шумова Марина Вадимовна,,,,,,,,,,2 101 991,,2 101 991
Юдина Светлана Дмитриевна,,,,,,,,,,1 135 016,,1 135 016
Яковлева Нина Никифоровна,,,,,,,,,,1 119 093,,1 119 093
Якушева Ирина Константиновна,,,,,,,,,,1 716 090,,1 716 090
Ярошенко Ирина Ильинична,,,,,,,,,,1 219 168,,1 219 168
Ясинская Елена Савельевна,,,,,,,,,,1 448 096,,1 448 096
Алексанникова Ольга Владимировна,,,,,,,,,,865 921,,865 921
Иванов Андрей Робертович,,,,,,,,,,4 174 801,,4 174 801
Полынцов Андрей Николаевич,,,,,,,,,,1 617 777,,1 617 777
Лаптева Елена Львовна,,,,,,,,,,7 993 716,,7 993 716
Гаврилов Андрей Анатольевич,,,,,,,,,,134 855,,134 855
Барсуков Андрей  Николаевич,,,,,,,,,,205 404,498 306,703 710
Блохина Ю.Ф. ,,,,,,,,,,571 081,730 707,1 301 788
Браташ Лидия  Викторовна,,,,,,,,,,766 802,,766 802
Георгиян Самвел  Андраникович,,,,,,,,,,290 741,,290 741
Белова Марина Анатольевна,,,,,,,,,,1 138 415,,1 138 415
Березкина Клавдия Александровна,,,,,,,,,,963 359,,963 359
Бойко Татьяна Александровна,,,,,,,,,,649 470,,649 470
Будюхина Ирина Георгиевна,,,,,,,,,,2 230 301,,2 230 301
Бушмелева Ольга Валерьевна,,,,,,,,,,1 477 456,,1 477 456
Васильева Татьяна Аркадьевна,,,,,,,,,,967 609,,967 609
Виноградова Екатерина Анатольевна,,,,,,,,,,978 328,,978 328
Висящева Галина Дементьевна,,,,,,,,,,1 368 356,,1 368 356
Возмителенко Светлана Александровна,,,,,,,,,,2 166 760,,2 166 760
Воронцова Марина Викторовна,,,,,,,,,,970 855,,970 855
Гаврилова Ольга Васильевна,,,,,,,,,,1 816 338,,1 816 338
Голик Александр Матвеевич,,,,,,,,,,1 272 778,,1 272 778
Гошева Елена Николаевна,,,,,,,,,,996 004,,996 004
Гришанович Марина Вадимовна,,,,,,,,,,969 974,,969 974
Григорьев Александр Алексеевич,,,,,,,,,,783 466,,783 466
Давыдова Татьяна Федоровна,,,,,,,,,,1 463 858,,1 463 858
Демидова Елена Александровна,,,,,,,,,,881 023,,881 023
Димова Татьяна Ивановна,,,,,,,,,,2 664 491,,2 664 491
Кутепов Андрей  Владимирович,,,,,,,,,,1,630 690,630 691
Лущиц Марина  Борисовна,,,,,,,,,,866 320,,866 320
Михайлов О.А. ,,,,,,,,,,313 158,,313 158
Ермоленко Лилия Александровна,,,,,,,,,,726 791,,726 791
Попова Е. В.,,,,,,,,,,612 704,715 268,1 327 972
Завацкая Светлана Владимировна,,,,,,,,,,1 396 899,,1 396 899
Иванова Любовь Геннадьевна,,,,,,,,,,1 572 125,,1 572 125
Иваськова Анна Юрьевна,,,,,,,,,,5 018 687,,5 018 687
Кардаш Анна Альбертовна,,,,,,,,,,746 729,,746 729
Климова Мария Юрьевна,,,,,,,,,,805 589,,805 589
Комарова Светлана Викторовна,,,,,,,,,,1 893 492,,1 893 492
Курсенко Лилия Петровна,,,,,,,,,,1 223 292,,1 223 292
Куртев Андрей Андреевич,,,,,,,,,,1 772 840,,1 772 840
Любина Евгения Валерьевна,,,,,,,,,,1 136 974,,1 136 974
Малинин Константин Владимирович,,,,,,,,,,907 783,,907 783
Осипова Надежда Вениаминовна,,,,,,,,,,1 614 500,,1 614 500
Паршихина Галина Сергеевна,,,,,,,,,,545 667,,545 667
Свиридова Ольга Сергеевна,,,,,,,,,,674 976,,674 976
Сенчук Владимир Владимирович,,,,,,,,,,493 346,,493 346
Скобелева Людмила Борисовна,,,,,,,,,,973 841,,973 841
Тараненко Валентина Борисовна,,,,,,,,,,1 104 932,,1 104 932
Толкачева Наталья Юрьевна,,,,,,,,,,1 032 174,,1 032 174
Удальцов Николай Алексеевич,,,,,,,,,,3 064 116,,3 064 116
Федорова Светлана Валентиновна,,,,,,,,,,837 529,,837 529
Федорова Светлана Владимировна,,,,,,,,,,813 556,,813 556
Филиппов Михаил Юрьевич,,,,,,,,,,1 736 476,,1 736 476
Цеунчик Татьяна Александровна,,,,,,,,,,1 139 587,,1 139 587
Челнокова Ирина Николаевна,,,,,,,,,,1 851 519,,1 851 519
Шелег Анастасия Петровна,,,,,,,,,,546 762,,546 762
Бусел Данута Ивановна,,,,,,,,,,1 854 858,,1 854 858
Быкова Елена Юрьевна,,,,,,,,,,720 019,,720 019
Быстрова Валентина Евгеньевна,,,,,,,,,,1 245 692,,1 245 692
Бычков Роман Васильевич,,,,,,,,,,1 296 741,,1 296 741
Буланенко Сергей Дмитриевич,,,,,,,,,,1 363 020,,1 363 020
Бурдин Юрий Николаевич,,,,,,,,,,7 093 532,,7 093 532
Валишина Тамара Павловна,,,,,,,,,,792 442,,792 442
Василевская Людмила Николаевна,,,,,,,,,,2 551 842,,2 551 842
Васильева Валентина Николаевна,,,,,,,,,,1 765 536,,1 765 536
Волкова Марина Александровна,,,,,,,,,,1 555 265,,1 555 265
Волкова Наталья Анатольевна,,,,,,,,,,1 708 208,,1 708 208
Габриелова Елена Ивановна,,,,,,,,,,2 307 599,,2 307 599
Ганихин Алексей Владимирович,,,,,,,,,,1 418 465,,1 418 465
Герасимова Светлана Викторовна,,,,,,,,,,944 997,,944 997
Герчик Людмила Вячеславовна,,,,,,,,,,1 857 598,,1 857 598
Гильмутдинова Светлана Васильевна,,,,,,,,,,1 244 478,,1 244 478
Гнатюк Ирина Ивановна,,,,,,,,,,1 495 390,,1 495 390
Головина Ольга Александровна,,,,,,,,,,1 480 278,,1 480 278
Горинова Людмиа Ивановна,,,,,,,,,,685 841,,685 841
Григорьев Валерий Евгеньевич,,,,,,,,,,1 672 714,,1 672 714
Григорьева Надежда Борисовна,,,,,,,,,,879 485,,879 485
Грызлова Людмила Николаевна,,,,,,,,,,1 719 823,,1 719 823
Гудец Елена Юрьевна,,,,,,,,,,1 741 066,,1 741 066
Гусева Лариса Сергеевна,,,,,,,,,,1 316 890,,1 316 890
Гущина Ольга Григорьевна,,,,,,,,,,2 044 702,,2 044 702
Дашкова Елена Константиновна,,,,,,,,,,1 491 312,,1 491 312
Денисова Наталия Витальевна,,,,,,,,,,2 811 396,,2 811 396
Дмитриева Татьяна Алфеевна,,,,,,,,,,4 525 134,,4 525 134
Дмитриева Эмилия Эйвальдовна,,,,,,,,,,1 393 437,,1 393 437
Дрозд Егор Сергеевич,,,,,,,,,,3 468 336,,3 468 336
Дроздова Александра Валерьевна,,,,,,,,,,720 439,,720 439
Дубровин Валерий Александрович,,,,,,,,,,2 248 072,,2 248 072
Ермакова Галина Александровна,,,,,,,,,,2 595 672,,2 595 672
Жевага Людмила Михайловна,,,,,,,,,,1 875 088,,1 875 088
Жукова Татьяна Николаевна,,,,,,,,,,1 273 409,,1 273 409
Райский Павел  Валерьевич,,,,,,,,,,301 718,443 535,745 253
Репетуха Валентина  Васильевна,,,,,,,,,,149 698,337 797,487 496
Устинова Анастасия  Петровна,,,,,,,,,,598 454,641 792,1 240 246
Филатова Вероника Викторовна,,,,,,,,,,693 499,849 588,1 543 087
Коточигова Людмила  Сергеевна,,,,,,,,,,1 473 355,1 871 540,3 344 895
Макеенкова Наталья В.,,,,,,,,,,3 644 122,,3 644 122
Валитова М.А. ,,,,,,,,,,1 175 518,,1 175 518
Шеяненко И. И.,,,,,,,,,,81 818,,81 818
Захаренко О.С. ,,,,,,,,,,127 557,,127 557
Завражных Софья Юрьевна,,,,,,,,,,4 234 085,,4 234 085
Земец Марина Викторовна,,,,,,,,,,1 568 990,,1 568 990
Комар И. А.,,,,,,,,,,722 905,1 045 579,1 768 484
Доманицкая Наталья  Владимировна,,,,,,,,,,402 348,453 718,856 066
Зорина Наталия Ивановна,,,,,,,,,,5 223 528,,5 223 528
Верховых Ирина Сергеевна,,,,,,,,,,1 586 006,1 747 141,3 333 147
Зубковская Галина Витальевна,,,,,,,,,,1 713 034,,1 713 034
Иванищев Александр Викторович,,,,,,,,,,1 480 410,,1 480 410
Иванова Галина Александровна,,,,,,,,,,1 115 989,,1 115 989
Иванова Галина Владимировна,,,,,,,,,,1 307 078,,1 307 078
Иванова Елена Андреевна,,,,,,,,,,775 776,,775 776
