Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Островский Алексей Владимирович,,,3 222 176,,1 960 220,3 940 226,1 968 771,1 949 019,2 211 900,55 329 000,1 887 000,72 468 312
Рохмистров Максим Станиславович,,,1 382 076,,,4 229 757,3 106 747,5 476 203,4 586 966,12 510 916,9 505 987,40 798 652
Свищев Дмитрий Александрович,,,6 942 607,,,3 920 436,2 262 455,5 099 939,2 477 235,3 882 888,7 654 944,32 240 505
Селезнев Валерий Сергеевич,,,341 000,,,4 041 999,1 949 362,2 194 939,2 507 235,4 691 518,392 754 193,408 480 246
Слуцкий Леонид Эдуардович,,,1 207 264,,,4 039 164,2 061 704,2 203 260,2 640 790,4 115 449,5 507 598,21 775 229
Тарасюк Василий Михайлович,,,72 790 517,,,67 863 221,41 759 035,58 650 607,49 536 539,72 015 453,100 444 411,463 059 783
Таскаев Владимир Павлович,,,6 350 606,,,12 506 005,9 119 976,11 673 927,9 818 722,10 228 529,11 693 312,71 391 077
Фургал Сергей Иванович,,,691 281,,2 075 349,2 300 224,3 742 659,2 470 825,14 666 235,4 071 997,4 924 560,34 943 130
Черкасов Кирилл Игоревич,,,95 983,,,3 926 257,1 968 866,2 259 860,2 479 761,3 884 063,4 708 483,19 323 274
Черешнев Валерий Александрович,,,651 746,,,10 322 847,7 167 750,12 244 505,7 076 882,9 925 609,11 369 931,58 759 270
Четвериков Александр Владимирович,,,1 044 243,,,3 923 680,1 935 618,1 999 939,2 477 235,3 882 888,4 735 560,19 999 163
Шеин Олег Васильевич,,,1 207 264,,,3 923 680,,,,2 162 667,0,7 293 611
Шудегов Виктор Евграфович,,,1 429 959,,,6 234 664,3 493 175,3 190 295,4 046 909,5 479 945,6 519 431,30 394 378
Абрамов Виктор Семенович,,,1 200 748,,,9 070 521,4 107 334,9 534 761,14 075 382,43 929 894,26 261 012,108 179 652
Амирилаев Адам Баширович,,,1 957 162,,2 280 185,4 890 220,,,,,,9 127 567
Аникеев Григорий Викторович,,,415 226 822,,859 674 841,1 756 565 057,2 712 131 087,1 110 538 972,1 706 282 978,995 061 223,599 958 228,10 155 439 208
Антонов Роман Валерьевич,,,119 692 340,,2 615 184,74 030 358,,,,3 008 256,9 932 163,209 278 301
Аршба Отари Ионович,,,3 097 663,,6 999 864,36 022 720,6 615 486,43 619 834,361 885 895,18 689 518,37 125 846,514 056 825
Бабич Михаил Викторович,,,1 207 264,,1 958 630,20 624 809,50 574 747,5 763 666,7 048 923,9 035 087,7 484 727,103 697 853
Балыхин Григорий Артёмович,,,1 056 537,,5 588 791,7 658 501,5 843 534,6 682 581,8 270 300,12 230 360,21 081 395,68 411 999
Баринов Игорь Вячеславович,,,1 207 264,,7 018 996,5 982 105,3 006 108,2 333 071,4 685 635,,3 715 808,27 948 987
Беднов Александр Викторович,,,96 000,,2 067 596,4 094 799,,,,,,6 258 394
Бобырев Валентин Васильевич,,,2 332 264,,2 126 596,4 238 926,,,,,,8 697 786
Гудков Геннадий Владимирович,,,2 607 264,,4 545 115,9 033 433,27 816 180,1 248 626,,,,45 250 618
Яровая Ирина Анатольевна,,,,,,10 116 912,2 870 343,2 945 240,6 114 356,12 036 043,5 580 582,39 663 477
Исаев Юрий Олегович,,,6 843 992,,3 722 849,7 299 104,24 792 443,2 068 668,89 289 499,19 664 604,,153 681 159
Кабаева Алина Маратовна,,,4 026 435,,12 950 622,27 986 633,11 471 923,9 830 127,10 678 376,,,76 944 116
Кабанова Валентина Викторовна,,,1 161 364,,2 652 460,4 919 662,2 976 610,3 401 202,4 634 434,11 267 290,7 241 780,38 254 802
Казаков Виктор Алексеевич,,,3 595 487,,32 793 305,65 026 157,50 311 609,49 951 520,54 992 569,79 709 365,140 583 459,476 963 472
Казарин Виктор Николаевич,,,7 141 263,,20 971 301,28 547 469,,,,22 484 789,36 598 230,115 743 052
Карелин Александр Александрович,255 401,,1 415 227,,5 877 615,10 649 888,3 965 653,6 999 548,5 300 212,7 220 534,8 106 601,49 790 679
Карелова Галина Николаевна,,,733 486,,4 760 418,4 323 069,2 254 248,2 391 522,2 944 942,4 325 469,5 911 154,27 644 309
Кармазина Раиса Васильевна,,,1 286 249,,3 235 538,11 615 733,3 195 488,3 661 348,4 925 661,6 200 456,7 217 922,41 338 395
Карпович Наталья Николаевна,,,150 355,,1 966 456,4 187 621,,,,,,6 304 432
Квитка Иван Иванович,,,3 379 523,,2 778 114,5 616 030,3 990 849,4 866 676,5 627 058,5 718 990,6 509 450,38 486 689
Кидяев Виктор Борисович,,,441 509,,1 629 487,4 065 131,2 105 160,2 183 862,2 677 895,4 416 541,5 001 646,22 521 231
Клименко Владимир Витальевич,,,2 979 200,,2 105 802,4 270 526,,,,,,9 355 527
Климов Андрей Аркадьевич,,,1 207 264,,2 845 937,4 304 337,2 391 414,2 520 392,3 927 920,4 312 860,6 176 655,27 686 778
Клинцевич Франц Адамович,14 516,,1 496 677,,2 151 049,5 467 173,2 703 671,2 417 350,2 988 820,4 392 126,5 304 335,26 935 717
Кобзон Иосиф Давыдович,,,16 841 532,,,23 382 599,44 267 546,64 334 670,66 124 104,102 854 670,118 804 736,436 609 857
Ковалев Николай Дмитриевич,,,1 522 716,,3 024 392,5 085 843,2 768 967,83 329 807,5 317 574,7 024 343,7 554 070,115 627 712
Коган Александр Борисович,,,1 207 264,,22 704 707,21 824 573,,,,,,45 736 544
